,user,red_wine,white_wine,sparkling_wine,rosé_wine,content
30,ViaCialdini,0,0,0,0,#Bollicine #FerrariTrento Campione del Mondo. #Sparkling #Wine Producer of the Year https://t.co/KRiZXXzNSB https://t.co/DBV6RKwWLk
31,markus_tm,0,0,1,0,"One observation is related to the grocery stores. It is perhaps of interest to Finns to know that the stores are well equipped. If the bread runs out, the people will need to settle for cream cakes and sparkling wine 4/N https://t.co/ouHbXBu4sF"
32,viiictoria_gdn,0,0,0,0,@shangelao_02 Not the girl that owes me sushi and sparkling wine!!!!!!
33,NSMGMedia,0,0,0,0,"Halfway through the second consoling bottle of Champagne, Coates said, “We live in Hampshire, where we have chalk slopes. Have you ever thought of making English sparkling wine?” @worldoffinewine explains: https://t.co/9xzGmk8UIO"
34,drinkszoneke,0,0,1,0,"Make your day super with a superb sparkling wine, Luc Belaire. Grab a bottle and toast to good vibes.
Shop at https://t.co/ufn7Y8ycbx or call / WhatsApp 0700457373
#Belaire #finewine #wineshop #winedelivery https://t.co/ZPd2sm9GdG"
35,Enamaris,0,0,0,0,"Look is he dead or not? I need to know if it's time to crack open my sparkling apple juice yet (cuz I never matured past 12 years old and dislike wine).

 #TrumpIsDead"
36,IMudlet,0,0,1,0,@NuckChorris16 @FoxNews Just been in the yard drinking vintage sparkling wine and having th birds fly around us... and eating our crisps
37,JustinPSaunder,0,0,0,0,"On the tray was a bottle of herb wine, different kinds of vodka, pickled mushrooms, rye cakes made with buttermilk, honey in the comb, still mead and sparkling mead, apples, nuts (raw and roasted), and nut-and-honey sweets."
38,erdman_janiya,0,0,1,0,"2015 Cameron Hughes Lot 411 Moscato d'Asti Sparkling Wine 750 mL FDOVQCB

https://t.co/rZBFBs14FF https://t.co/In9DtAX5wW"
39,SB_Wino,0,0,0,0,How Prosecco Became The World’s Most Popular Sparkling #Wine: With A Name Change via @forbes https://t.co/WQ0Wlv4FQE #winoinfo
40,kaeyatweet,0,0,1,0,Sparkling wine is a specialty of Mondstadt. Mix it with three parts Dandelion Wine and the bitterness disappears completely. This concoction is known as 'Death After Noon.' Delectable.
41,winelib_jim,0,0,1,0,@Gordo19571 @amylieberfarb Champagne. Not other. Sparkling  wine
42,arsvare,0,0,1,0,I can't sleep so I'm drinking sparkling wine instead
43,padberggzjr,0,0,1,0,"Bottle Stoppers Beanie Cap | Decorative Stopper Preserver for Wine Beer Champagne Alcohol Sparkling Wine | Creative Bottle St QOUC4CN

https://t.co/TLBwfMqj5v"
44,semendemun,0,0,1,0,my sparkling wine was flat :(
45,winepairpodcast,0,0,0,0,"Sorry to say it, but drinking wine from stemless glasses is like flying a plane with no wings. Don’t do it!

#stemlesswineglasses

https://t.co/N7owmrGNh8"
46,handoo91,0,0,0,0,"On the tray was a bottle of herb wine, different kinds of vodka, pickled mushrooms, rye cakes made with buttermilk, honey in the comb, still mead and sparkling mead, apples, nuts (raw and roasted), and nut-and-honey sweets.9AZ"
47,Sunny1079fm,0,0,0,0,"Join friends &amp; supporters of the 
@JupiterLH at their annual sparkling charity benefit, Rendezvous at the Light!  We've got your chance to win tickets to a special evening of food, wine &amp; craft beer, live music &amp; more! Enter now on the Sunny 107.9 app! 

https://t.co/FI7s4XIrVA https://t.co/zHDSGGnW0D"
48,aisisklopez,0,0,0,0,"No wine tho, just sparkling apple cider"
49,triskel_lomund,0,0,1,0,"the lady continues her sparkling wine. small sips. 

at the question she blinked, ""oh. um. let's see. job search is going terribly. I'm running out of money. all that good stuff."" https://t.co/OVyBb8RYaE"
50,cornemoji,0,0,0,0,"@scary_salsa It's kind of like how ""it's only champagne if it's from that area of France, otherwise its sparkling wine"" it's only a butt plug if it has a tapered end and a sturdy ring or other way to remove it, otherwise it's just a foreign object in ur butt"
51,TrueAnonyman,0,0,1,0,@BloombergUK …are you really promoting tweets framing climate change as a good thing? Because of its effect on the British sparkling wine industry? Seriously?!
52,KetCorrine,0,0,1,0,@GDoc2001 Drink a nice sparkling wine to celebrate a blue tsunami!! https://t.co/g0vd483Y7M
53,thesobercurator,0,0,0,0,"Has non-alcoholic wine finally got good? As Kylie Minogue introduces her first alcohol-free sparkling rosé ...
#sober #thesobercurator

https://t.co/YoRsaXU9jF"
54,Librumtinia,0,0,0,0,"@TooDarkPark @jelinaangelll payment. I mean, coal I guess would come in useful if we had a power outage, but one lump won't do much... and I don't drink wine. Now if it were sparkling grape juice I'd want it XD"
55,StrangestDoc,0,0,1,0,"@OutlawishQuill Stephen had a nice bottle of some sparkling wine ready to share with his lover in the bath. He smiles as he sees him, and quickly disrobes himself."
56,ianl_1974,0,0,0,0,"Recently able to taste @Gusbourne's English sparkling Prestige Cuvée 51°N. 2014 vintage; ⅔ Chardonnay: ⅓ Pinot Noir. With 80 months on the lees it's a serious wine, with a delicate mousse and aromas of red apple, lemon, pink grapefruit. High quality, yes. Worth £195? Could be! https://t.co/8DlGRhkWow"
57,kilday_morgan,0,0,0,0,"Okay I have white claws, champagne (sparkling wine) and regular wine. Hopefully I'm drinking the champagne Tuesday 🍾"
58,AnneKJung1,1,0,0,0,"@dberi21 Well, I'd die for a good Caponata from Sicily. That comes with pane bianco and a slightly cooled sparkling red wine."
59,littlebrownowl,0,0,1,0,"@RosiePosieBoops Christmas Eve in our home. The lights twinkling, the antique lace tablecloth comes out to lay over the Brodie tartan cloth. Candles, sparkling wine, raw prawns and oysters with crusty rye bread for dinner, pavlova for dessert and the Griswalds in the dvd player. 🦉💖🎄🥂🍤📀"
60,BubblizLinda,0,0,1,0,"@Sleigh_J I always celebrate my anniversary with sparkling wine, some fine cheese, crackers and grapes.  Even some of my friends use to come over to my place and celebrate with me."
61,BCWineTrends,0,0,1,0,Nighthawk Vineyards' new sparkling wine years in the making | iNwine - https://t.co/NLhJzpmWsm - https://t.co/MgJczhTFA1 #GoogleAlerts
62,kaeyaquote,0,0,1,0,Sparkling wine is a specialty of Mondstadt. Mix it with three parts Dandelion Wine and the bitterness disappears completely. This concoction is known as Death After Noon.
63,_cocktailbot,0,0,1,0,"Cocktail: Meh Hera. Recipe: 1 oz. vodka, 2 oz. sparkling wine, splash of midori, egg white"
64,cray3523,0,0,1,0,"@GailSimone Amazing, just wait until you hear how we invented Champagne, Sparkling wine anyone?"
65,BKPinot,0,0,1,0,".Ontario sparkling winemakers sign up via your email link for Fizz Club 2022 on 13th Dec! Amongst the topics are our 5yr viti study, @CCOVIBrockU fizz research, new yeast lees trials, fumaric acid + base &amp; sparkling wine tastings. Places filling up fast! https://t.co/2Ha56jZ0h3"
66,ANewAmy8,0,0,0,0,@ZonesOfThought Dried sparkling water? Like dry wine?
67,churchendbeer,1,1,1,0,"Church End Brewery has a brand new wine list. 🍷🍾

WHITE WINE

Pinot Grigio
Chardonnay
Savignon Blanc

ROSE WINE

Zinfandel Rose
Pinot Rose

RED WINE

Merlot
Shiraz
Malbec
Rioja  

SPARKLING WINE

 Prosecco Spumante
Cremant de Loire Brut https://t.co/ki0tlSrDQV"
68,VikingDrinks,1,1,0,0,"Taste of East Waterford,idea of a beautiful Hamper from our Vineyard &amp; Orchards, a selection of natural ciders, Red wine , White Wine liqueur, Blackcurrant liqueur, Method traditional sparkling cider, delivery foc in Waterford, All organically grown and produced, PM for details https://t.co/3IGpj8B92D"
69,CorkNCapLiquor,0,0,1,0,"Canella Sparkling Wine Advent Calendar Coming On Friday! 😎

#Wine #WineLover #SparklingWine #Lloydminster https://t.co/YhbtJfz3Fn"
70,FFFoodAwards,0,0,0,1,A Silver for @threespirit_ Blurred Vines Non-alcoholic Sparkling Rosé Wine Alternative “This product offers something quite unique for a non-alcoholic wine: rich in flavour with tannins (missing in most wine alternatives). Good combination of sparkling tea and wine.”  #FFCA22 https://t.co/bOxIAQr1vI
71,LifeinPumps,0,0,0,0,DisneyParks: Heading to @WaltDisneyWorld for #WineDineHalf? Swing by Pineapple Lanai at Disney’s Polynesian Resort for the Explosion of Flavors DOLE Whip Float featuring Rosa Regale Sparkling Wine! 🍍 Available 11/3-11/6 ✨ #DisneyEats https://t.co/y9tFeVxaa3
72,MauiMickey702,0,0,0,0,DisneyParks: Heading to @WaltDisneyWorld for #WineDineHalf? Swing by Pineapple Lanai at Disney’s Polynesian Resort for the Explosion of Flavors DOLE Whip Float featuring Rosa Regale Sparkling Wine! 🍍 Available 11/3-11/6 ✨ #DisneyEats https://t.co/hULGaS7Fke
73,FrancisHarrod1,0,0,1,0,"A sparkling wine is also available, produced by the traditional method of bottle fermentation, resulting in a dry, yet full-flavoured fizz."
74,AriShaun2,0,0,1,0,"Ivation 12 Bottle #Compressor Wine Cooler #Refrigerator w/Lock | Large Freestanding Wine Cellar For Red, White, Champagne or Sparkling Wine | 41f-64f Digital Temperature Control #Fridge Stainless Steel https://t.co/lZV09gsHhR https://t.co/EiEW288cXu"
75,Sparkling_001,0,0,0,0,Now I know why bread and wine was the last supper 😂😂 https://t.co/BQ9FSIiXrS
76,SANDS_NTULI,0,0,1,0,"I buy myself flowers at least once in ten days, I get a fresh cut and do my nails regularly, once in a while I go shopping, I do solo dates, I enjoy getting myself that Spumante Sparkling wine from @WOOLWORTHS_SA just to celebrate the little things 🥹🥂 https://t.co/zHJGeu1xe6"
77,dktavritt,0,0,0,0,Heading to @WaltDisneyWorld for #WineDineHalf? Swing by Pineapple Lanai at Disney’s Polynesian Resort for the Explosion of Flavors DOLE Whip Float featuring Rosa Regale Sparkling Wine! 🍍 Available 11/3-11/6 ✨ #DisneyEats https://t.co/nTNY1fcFWb
78,DisneyParks,0,0,0,0,Heading to @WaltDisneyWorld for #WineDineHalf? Swing by Pineapple Lanai at Disney’s Polynesian Resort for the Explosion of Flavors DOLE Whip Float featuring Rosa Regale Sparkling Wine! 🍍 Available 11/3-11/6 ✨ #DisneyEats https://t.co/CyZ4HgTm77
79,smithstorywines,0,0,0,0,The Encore Smith Story Sparkling - https://t.co/wqMUGlelZg #sparklingwine #smithstorywines #holidaywine #finewine #winelovers #wine https://t.co/g2d0BMKZDW
80,hantschronicle,0,0,1,0,Hampshire harvest time: Raimes English Sparkling Wine vineyard near Alresford https://t.co/TzWOPfsPjJ
81,romseyadver,0,0,1,0,Hampshire harvest time: Raimes English Sparkling Wine vineyard near Alresford https://t.co/EWDtDmTrkG
82,edfcarrasco,0,0,1,0,@Gritty20202 There needs to be something with that Bobby Hill on a small podium showering himself with sparkling wine meme
83,gmkorvo,0,0,0,0,Check out this great wine. I’m giving it 4.5 of 5 stars with the Vivino app https://t.co/l9sVhkEDl4 https://t.co/WtsGI8F6Af
84,hourlykaeya,0,0,1,0,Sparkling wine is a specialty of Mondstadt. Mix it with three parts Dandelion Wine and the bitterness disappears completely. This concoction is known as Death After Noon. Delectable.
85,LinSquiggly,0,0,0,0,"@warpvector Working title is ""if its not from the champagne region, its just SPARKLING CYANIDE!""

it's a game following a wine tasting party where all the guests are rich fools and are attempting to poison one another, pass drinks back and forth, safe or deadly, to be the last one standing!"
86,denisemassar,0,0,0,0,"I don’t get big the non-alcoholic wine push rn. Like, it’s juice. Or sparkling juice. We’ve always had it. You don’t have to get it from Katy Perry for $40."
87,BermarUK,0,0,1,0,"With their brand new professional preservation system by Bermar, @limebarlounge can reseal any bottle of still or sparkling wine, ensure freshness for up to 21 days, eliminate unnecessary wastage concerns, and boost by the glass profits all at the same time! 

#wine https://t.co/9n7QLZ0lGH"
88,adam_008,0,0,0,0,"Dear #WhiskySanta, please may you put @BottegaSpa Gold Prosecco from @MasterofMalt under my tree? I've been really good this year! https://t.co/X7XhLFkxAy"
89,basile_evelyn,0,0,0,0,"https://t.co/WZXvden4rZ 
And the celebration of this wine was last week, so...."
90,AriShaun2,0,0,1,0,"Ivation 18 Bottle #Compressor Wine Cooler #Refrigerator w/Lock | Large Freestanding Wine Cellar For Red, White, Champagne or Sparkling Wine | 41f-64f Digital Temperature Control #Fridge Stainless Steel https://t.co/4vu8Z89DOs https://t.co/PJOnH5djrZ"
91,ChrisWalkey,0,0,1,0,@BlissfulandFit #Vegan English Sparkling Wine maybe?
92,ElanElizabeth,0,0,1,0,"@lilgreenkc Because all sparkling wine isn’t real champagne lolol. A sixer if an average beer is ~$12, and a low-end bottle of real champagne is about ~$35 ¯\_(ツ)_/¯"
93,CameronHouseLL,0,0,0,0,"Enjoy a sparkling firework display at Cameron House

Experience live music whilst sipping your choice of mulled cider, sloe gin or wine, or hot chocolate with a delicious selection of street food.

Enjoy free entry for all on Saturday 5 November from 3PM: https://t.co/qO5ZtTDaWm https://t.co/dpoq2Ilsy6"
94,Draugra1,0,0,1,0,"@Siculoid Oh, but I do have good friends whose parents moved down from Pennsylvania and they're tradition is indeed chili. Either cider with it or cheap sparkling wine in punch and then cake and coffee after. It was a nice change of pace when I chaperoned kids for TRT"
95,vino_sphere,0,0,0,0,"Uncork our latest post: A Wonder-Fall Wine Tasting Sparkling Albariño, Chilean Sauv Blanc, and more https://t.co/EzQFO5KNue @WriteforWine @SustainableKW @LadySadie66 #winelover #winetasting @WTSO https://t.co/PyeMdsP7sp"
96,Frenchparawines,0,0,0,0,Wine Dinner with Schola &amp; French Paradox Wines: Champagne &amp; Sparkling wines - https://t.co/leKhPuM3G7 https://t.co/waOck6k4g8
97,WinesOfArmenia,0,0,0,0,"#WoA_Guides | To enjoy the ""dance"" of #sparkling #wine bubbles as long as possible, they are served in tall and narrow glasses known as flutes. Choose the right type of glass, and taste the best sparkling wines from #Armenia: https://t.co/0bNxkRDucf. https://t.co/VfkNs1i7Gd"
98,aussie_wine,0,0,0,0,"#Delamere Vineyard Wines Delamere Sparkling Rose NV Tasmania

🛒 &gt;&gt;&gt; https://t.co/K2tHN4NfBd

#AD #wine #shiraz #chardonnay #rioja #malbec #riesling #cabernet #pinot #tempranillo #champagne #BoozeMonkey #redwine #whitewine #whisky https://t.co/xmkhpybnAc"
99,Codix_Pharma,0,0,1,0,"With fresh opportunities for work, play, and celebration, the start of a new month is a wonderful time to celebrate. It's a great opportunity to celebrate with loved ones. Start the new month with a glass of Champagne or sparkling wine. https://t.co/rNCB1ZSJvm"
100,TetyanaWrites,0,0,1,0,"Artemivsk sparkling wines began in the middle of the 18th century. In 1950, the construction of a sparkling wine plant with a capacity of 5 million bottles per year began. In 2005, its productivity reached 300 million bottles. At international and all-Ukrainian competitions, https://t.co/32RWVXW4cr"
101,JustinPSaunder,0,0,1,0,"A sparkling wine is also available, produced by the traditional method of bottle fermentation, resulting in a dry, yet full-flavoured fizz."
102,majesticgif,0,0,0,0,Champagne and sparkling offers still on till November 7th! Stocking up for the weekend or Christmas? Come see our amazing offers!! @ Majestic Wine https://t.co/mcpg4HwgmU
103,rubybox_beauty,0,0,0,0,"See how @aobakwemonnana is #GlowingUp with her New Bernini 500ml Real Sparkling Spritzer Made from Wine😍😍 

Are you ready to #WatchUsGlowUp?😁✨

#Repost @aobakwemonnana https://t.co/KWxqrYta9k"
104,DymoltWines,0,0,0,0,"Dymolt Family Wines Sparkling Rose´ The vivid Dymolt Family Wine pink hue and delicate wild strawberry aromas immediately transport you to a summer’s afternoon, while the crisp red berry flavours and refreshing acidity invite you to sip and savour this easy-going sparkling ros... https://t.co/VnlP0Hvqs0"
105,BradleyHorne,0,0,0,0,"#WineSocial live tonight at 8pm in collaboration with @theIWSC I'm joined by @EssiAvellan to talk about champagne, her journey into wine and judging sparkling wines we will also discuss @ClubOenologique first champagne report and her highlights https://t.co/p1SDIFLnQM https://t.co/uRKMdRbhcb"
106,otbnaga,0,0,0,0,"like I don’t believe that its water. but like even if it was, drinking sparkling water from a wine glass is definitely a very barcode thing to do and I fully support him"
107,FFFoodAwards,0,0,0,0,"Jonny is NEVER without the @GuinnessIreland 0.0%, but he also loves an alcohol free sparkling wine… 
 @_BetterWithout #FFCA22 #alcoholfree https://t.co/oNZlP9Gass"
108,babyphatish,0,0,1,0,it’s sparkling wine 😐 https://t.co/tcyJUXjwgE
109,eepeters_ep,0,0,1,0,@Cathyldemelo @delta88man @geneedwardsonao Morning Twifam.  Happy November 1rst. This is what I made to wear to work yesterday.  I was an exploded can of Outset Sparkling wine.  Have an amazeballs day everyone https://t.co/rTvPBhyi8W
110,neckoilnorm,0,0,1,0,"@catherine___c Your not so get back to South Sydney and keep drinking your Aldi Sparkling Wine,"
111,offendedtimes,0,0,1,0,@misspaulalondon @thecoastguy Nyetimber and Chapel Down make exceptional sparkling wine. Way better than most champagnes.
112,majesticayl,0,0,0,0,"Nothing makes an occasion sparkle like a bottle of fizz. And now, you can pick up your favourites for less with our latest offer. Save at least 25% on all #Champagne and #sparklingwine (up to £100) when you Mix Any Six until 7th November.

https://t.co/zH90uZpt7d https://t.co/omFkeUmJzF"
113,jessicaebooks,0,0,0,0,Smash nights 🍷🧀✌🏻️ #wine but it must be lying because this is the best sparkling peach juice I have...
114,DeeDeeCreative_,0,0,0,0,"Are you a wine drinker like me? 🍷Naked Wines has a great selection of Reds, Whites, Sparkling, Spirits and more. Join me on Naked Wines and get a $100 voucher to spend on your first order of $155.88 or more. #Affil  https://t.co/Z18bWJrjNK"
115,DailyKaeya,0,0,1,0,Sparkling wine is a specialty of Mondstadt. Mix it with three parts Dandelion wine and the bitterness disappears completely. This concoction is known as 'Death after Noon.' Delectable.
116,JamesChego9,0,0,1,0,"Show me a better sparkling wine brand that @HouseOfJCLeRoux …? 

Why do you even dare compare? 😅 https://t.co/M3Llsjhzy0"
117,BerniniSA,0,0,0,0,"Celebrate your authentic glow with Bernini's range of #RealSparklingSpritzer made from wine, fit for a Queen like you! ​

Show us a moment of you basking in your glow &amp; we might match it with a 6-pack of your fave sparkling spritzer ✨​#WeAreWomen #MadeFromWine #GlowResponsibly https://t.co/HprdljXRQO"
118,PhilipW22555990,0,0,1,0,"Happy Halloween🎃
🎃DIY Bubble Sparkling Wine to Celebrate Halloween！！🎃🥤 https://t.co/IrNm0tUhIN"
119,Mad4beer333,0,0,1,0,Sparkling wine
120,AutomataWinery,0,0,0,0,Today's featured wine is a laminated reed-aged Sparkling Red; it has an opulent bouquet and hints of honeydew. $14
121,shriver_amy,0,0,1,0,"Next year try wine &amp; candy pairings!
Not pictured: sparkling wine &amp; pop rocks (mind blowing) 🤯 #MedTaste https://t.co/mHJd5N6HQu"
122,MeeeeeHappyG,0,0,1,0,"@NobodysHeroine Sparkling wine, that's nice.😆"
123,BarntlyE,0,0,0,0,"@RealTalkFadzie *Raunquindlique lips dry red 4.50 usd wholesale and 5 usd each 12.5% AC*

*Van Loveren sauvignon blanc/Chardonnay white 4.50 usd from 3 bottles wholesale and 5 usd each* *All white wines have AC from 12/13%*
 
*Lady Penguin Cuvee Rose sparkling wine/champagne 7 usd each and"
124,grayhawk,0,0,0,0,"-Brussel sprouts Agrodolce
-Gravy
-Grandma Arbuckle's Split Second Cranberry Sauce
-Cranberry Sauce with Bourbon, Vanilla Bean, &amp; Orange
-Sparkling Cider
-Wine
#Thanksgiving2022 
(3/4)"
125,Winehouseportu1,0,0,1,0,An excellent sparkling wine produced by the Chardonnay grape variety from Caves of Murganheirahttps://winehouseportugal.com/sparkling/2564-murganheira-chardonnay-brut-sparkling-white-wine-caves-founded-more-than-50-years-ago-located-in-a-property-with-more-than-30-he-560206800087 https://t.co/31QQb6JSeQ
126,PalaceNova,0,0,1,0,"Enjoy your selection of a Whiskey Irish Mule Cocktail, sparkling wine or mocktail and popcorn courtesy of Cunard, for this special presentation of British-Irish playwright Martin McDonagh's The Banshees of Inisherin.

https://t.co/YFnOPPcBYc https://t.co/gVS6IVt5ka"
127,T9Cents,0,0,0,0,* Vera Wang Party Prosecco / Drizly https://t.co/Bh3j1bksXP https://t.co/3tAPqyxsSw
128,SonofaSheWolf,0,0,0,0,"@EugeneMurnane5 @StuartEdser No wine industry?  
The Town of Great Western produced more bottles of ""sparkling wine"" in 1888 than all of France.  
All for the Melbourne Cup."
129,JWillows_Author,0,0,0,0,@jodyjsperling Can I change the beer to sparkling wine?
130,marsh_christi,0,0,1,0,"How to host a proper #Halloween2022 patio party? 1. dress up 👍🏻 2. add supplies- #nockingpointwines of course ! #loudvino wine by @GREGMIKE and sparkling wine 🍷   #—. —2020 , ❤️👻🤡😆🎃 @nockingpoint @StephenAmell @andrewnharding https://t.co/U7VlzOazuJ"
131,L1V1NG_H1ST0RY,0,0,1,0,"@xkingofdreams [Hob came back a bit later with two dark glasses, and handed one to Morpheus]

Black cherry sparkling wine, darling"
132,sedinitronic,0,0,1,0,United is back at it with the sparkling wine before taxiing for business class. That’s the shit I miss
133,NobodysHeroine,0,0,1,0,"Sparkling wine, tranquilizer. I am ready to enter a plane again.😭"
134,SerenaSpectra,0,0,1,0,"This is my spooky fame lady     
@fame_ladies have a spooktacular night

Jilly and I have tequila and vodka and the sparkling wine is chillin' 🍷

We do HALLOWEEN right https://t.co/mqkjKe7SO5"
135,handsomcdevil,0,0,0,0,@L1V1NG_H1ST0RY Oh! It’s black sparkling cherry wine!
136,_notsheba,0,0,1,0,"NEW Event for Cate Blanchett! 

TÀR Special Event Screening with Cate Blanchett Q&amp;A live on stage! Sunday November 13. All tickets include a glass of sparkling wine on arrival. “Blanchett gives a colossal tour-de-force performance…” – Associated Press.

from: haydenorpheum https://t.co/VMoNkAEKeP"
137,megcheese,0,0,0,0,@Blackamazon Sparkling wine! Make a flamingo mimosa 🦩🍹
138,cwieder,0,0,0,0,@mark_wieder Still have some of your Sparkling Fruit Beverage😍 I have it aging like fine wine 🤩 https://t.co/EAbTM100vy
139,daecos,0,0,1,0,Three glasses of sparkling wine &amp; I’m already crying about my dog.
